pair_idx,layer,control_text,treatment_text,original_control_resp,original_treatment_resp,patched_resp_full,patched_resp_parsed,flipped_to_control,A_to_B,B_to_A,response_changed
0,10,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",A,B,Option B,B,False,False,False,False
0,11,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",A,B,Option B,B,False,False,False,False
0,12,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",A,B,Option B,B,False,False,False,False
0,13,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",A,B,Option B,B,False,False,False,False
0,14,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",A,B,Option B,B,False,False,False,False
0,15,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",A,B,A,A,True,False,True,True
0,16,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",A,B,A,A,True,False,True,True
0,17,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",A,B,A,A,True,False,True,True
0,18,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",A,B,A,A,True,False,True,True
0,19,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",A,B,A,A,True,False,True,True
0,20,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",A,B,A,A,True,False,True,True
0,21,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",A,B,A,A,True,False,True,True
0,22,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",A,B,A,A,True,False,True,True
0,23,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",A,B,A,A,True,False,True,True
0,24,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",A,B,A,A,True,False,True,True
0,25,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",A,B,A,A,True,False,True,True
0,26,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",A,B,A,A,True,False,True,True
0,27,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",A,B,A,A,True,False,True,True
0,28,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",A,B,A,A,True,False,True,True
0,29,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",A,B,A,A,True,False,True,True
0,30,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",A,B,A,A,True,False,True,True
0,31,"Choose between:
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
What is your choice?
Answer:","Choose between:
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
What is your choice?
Answer:",A,B,A,A,True,False,True,True
4,0,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,1,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,2,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,3,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,4,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,5,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,6,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,7,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,8,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,9,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,10,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,11,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,12,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,13,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,14,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,15,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,16,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,17,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,18,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,19,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,20,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,21,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,22,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,23,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
4,24,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,Option A,A,False,False,False,False
4,25,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,Option A,A,False,False,False,False
4,26,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,Option A,A,False,False,False,False
4,27,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,Option A,A,False,False,False,False
4,28,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,Option A,A,False,False,False,False
4,29,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,Option A,A,False,False,False,False
4,30,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,Option A,A,False,False,False,False
4,31,"Choose between:
Option A - 34% to win $2400, 66% to win $0.
Option B - 33% to win $2500, 67% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2400 for sure.
Option B - 33% to win $2500, 66% to win $2400, 1% to win $0.
What is your choice?
Answer:",B,A,Option A,A,False,False,False,False
8,0,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
8,1,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
8,2,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
8,3,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
8,4,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
8,5,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
8,6,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
8,7,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
8,8,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
8,9,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
8,10,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
8,11,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
8,12,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
8,13,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
8,14,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
8,15,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
8,16,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
8,17,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
8,18,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
8,19,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,Option A,A,False,False,False,False
8,20,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
8,21,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,A,A,False,False,False,False
8,22,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,Option A,A,False,False,False,False
8,23,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,Option A,A,False,False,False,False
8,24,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,Option A,A,False,False,False,False
8,25,"Choose between:
Option A - 35% to win $2500, 65% to win $0.
Option B - 34% to win $3000, 66% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2500 for sure.
Option B - 34% to win $3000, 65% to win $2500, 1% to win $0.
What is your choice?
Answer:",B,A,Option A,A,False,False,False,False
