,index,match_key,control_idx,treatment_idx,control_text,treatment_text,template,bias_type_index,vals_index,permutation_index,treatment_answer,control_answer,treatment_prob,control_prob,target_position,control_resp,treatment_resp,control_resp_full,treatment_resp_full,control_resp_eq_treatment_resp
22,56,"(1, 2, 1, 1, 1, 1)",56,84,"Choose between:
Option A - $4000 with a 20% chance, $0 with a 80% chance.
Option B - $3000 with a 25% chance, $0 with a 75% chance.
What is your choice?
Answer:","Choose between:
Option A - $4000 with a 80% chance, $0 with a 20% chance.
Option B - $3000 with certainty.
What is your choice?
Answer:",1,2,1,1,target,better_expected_value,-0.1799708157777786,-0.5519697666168213,Option B (second),A,A,A,A,True
23,59,"(1, 2, 1, 1, 1, 2)",59,87,"Choose between:
Option A - 25% to win $3000, 75% to win $0.
Option B - $4000 with a 20% chance, $0 with a 80% chance.
What is your choice?
Answer:","Choose between:
Option A - $3000 for sure.
Option B - $4000 with a 80% chance, $0 with a 20% chance.
What is your choice?
Answer:",1,2,1,2,target,better_expected_value,-0.4403689801692962,-0.5760211944580078,Option A (first),B,A,B,A,False
24,63,"(1, 2, 1, 1, 2, 2)",63,93,"Choose between:
Option A - 25% to win $3000, 75% to win $0.
Option B - 20% to win $4000, 80% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $3000 for sure.
Option B - 80% to win $4000, 20% to win $0.
What is your choice?
Answer:",1,2,1,2,target,better_expected_value,-1.0709458589553833,-0.2521906793117523,Option A (first),B,A,Option B,A,False
25,64,"(1, 2, 2, 1, 1, 1)",64,96,"Choose between:
Option A - $5000 with a 20% chance, $0 with a 80% chance.
Option B - $3000 with a 25% chance, $0 with a 75% chance.
What is your choice?
Answer:","Choose between:
Option A - $5000 with a 80% chance, $0 with a 20% chance.
Option B - $3000 with certainty.
What is your choice?
Answer:",1,2,2,1,target,better_expected_value,-0.1130222082138061,-0.64512038230896,Option B (second),A,B,A,Option B,False
26,67,"(1, 2, 2, 1, 1, 2)",67,99,"Choose between:
Option A - 25% to win $3000, 75% to win $0.
Option B - $5000 with a 20% chance, $0 with a 80% chance.
What is your choice?
Answer:","Choose between:
Option A - $3000 for sure.
Option B - $5000 with a 80% chance, $0 with a 20% chance.
What is your choice?
Answer:",1,2,2,2,target,better_expected_value,-0.5134514570236206,-0.3869609534740448,Option A (first),B,A,B,A,False
27,68,"(1, 2, 2, 1, 2, 1)",68,102,"Choose between:
Option A - 20% to win $5000, 80% to win $0.
Option B - $3000 with a 25% chance, $0 with a 75% chance.
What is your choice?
Answer:","Choose between:
Option A - 80% to win $5000, 20% to win $0.
Option B - $3000 with certainty.
What is your choice?
Answer:",1,2,2,1,target,better_expected_value,-0.5249699950218201,-0.6937280297279358,Option B (second),A,B,Option A,B,False
28,72,"(1, 2, 3, 1, 1, 1)",72,108,"Choose between:
Option A - $6000 with a 20% chance, $0 with a 80% chance.
Option B - $4000 with a 25% chance, $0 with a 75% chance.
What is your choice?
Answer:","Choose between:
Option A - $6000 with a 80% chance, $0 with a 20% chance.
Option B - $4000 with certainty.
What is your choice?
Answer:",1,2,3,1,target,better_expected_value,-0.1271261572837829,-0.6518409252166748,Option B (second),A,A,A,A,True
29,75,"(1, 2, 3, 1, 1, 2)",75,111,"Choose between:
Option A - 25% to win $4000, 75% to win $0.
Option B - $6000 with a 20% chance, $0 with a 80% chance.
What is your choice?
Answer:","Choose between:
Option A - $4000 for sure.
Option B - $6000 with a 80% chance, $0 with a 20% chance.
What is your choice?
Answer:",1,2,3,2,target,better_expected_value,-0.3769232332706451,-0.9094723463058472,Option A (first),B,A,B,A,False
30,80,"(1, 2, 4, 1, 1, 1)",80,120,"Choose between:
Option A - $5000 with a 25% chance, $0 with a 75% chance.
Option B - $4000 with a 30% chance, $0 with a 70% chance.
What is your choice?
Answer:","Choose between:
Option A - $5000 with a 85% chance, $0 with a 15% chance.
Option B - $4000 with certainty.
What is your choice?
Answer:",1,2,4,1,target,better_expected_value,-0.2520442008972168,-0.6272072196006775,Option B (second),A,B,A,Option B,False
31,83,"(1, 2, 4, 1, 1, 2)",83,123,"Choose between:
Option A - 30% to win $4000, 70% to win $0.
Option B - $5000 with a 25% chance, $0 with a 75% chance.
What is your choice?
Answer:","Choose between:
Option A - $4000 for sure.
Option B - $5000 with a 85% chance, $0 with a 15% chance.
What is your choice?
Answer:",1,2,4,2,target,better_expected_value,-0.4190611541271209,-0.4288677275180816,Option A (first),B,A,Option B,A,False
32,87,"(1, 2, 4, 1, 2, 2)",87,129,"Choose between:
Option A - 30% to win $4000, 70% to win $0.
Option B - 25% to win $5000, 75% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $4000 for sure.
Option B - 85% to win $5000, 15% to win $0.
What is your choice?
Answer:",1,2,4,2,target,better_expected_value,-0.9176244139671326,-0.1009169071912765,Option A (first),B,A,Option B,A,False
33,88,"(1, 2, 5, 1, 1, 1)",88,132,"Choose between:
Option A - $6000 with a 30% chance, $0 with a 70% chance.
Option B - $5000 with a 35% chance, $0 with a 65% chance.
What is your choice?
Answer:","Choose between:
Option A - $6000 with a 85% chance, $0 with a 15% chance.
Option B - $5000 with certainty.
What is your choice?
Answer:",1,2,5,1,target,better_expected_value,-0.0790599435567855,-0.5518767833709717,Option B (second),A,A,A,A,True
34,91,"(1, 2, 5, 1, 1, 2)",91,135,"Choose between:
Option A - 35% to win $5000, 65% to win $0.
Option B - $6000 with a 30% chance, $0 with a 70% chance.
What is your choice?
Answer:","Choose between:
Option A - $5000 for sure.
Option B - $6000 with a 85% chance, $0 with a 15% chance.
What is your choice?
Answer:",1,2,5,2,target,better_expected_value,-0.4649685621261596,-0.4743070006370544,Option A (first),B,A,B,A,False
35,92,"(1, 2, 5, 1, 2, 1)",92,138,"Choose between:
Option A - 30% to win $6000, 70% to win $0.
Option B - $5000 with a 35% chance, $0 with a 65% chance.
What is your choice?
Answer:","Choose between:
Option A - 85% to win $6000, 15% to win $0.
Option B - $5000 with certainty.
What is your choice?
Answer:",1,2,5,1,target,better_expected_value,-1.0690854787826538,-0.523369312286377,Option B (second),A,A,A,A,True
36,93,"(1, 2, 5, 1, 2, 1)",94,140,"Choose between:
Option A - 30% to win $6000, 70% to win $0.
Option B - 35% to win $5000, 65% to win $0.
What is your choice?
Answer:","Choose between:
Option A - 85% to win $6000, 15% to win $0.
Option B - $5000 for sure.
What is your choice?
Answer:",1,2,5,1,target,better_expected_value,-0.8804168105125427,-0.4757410883903503,Option B (second),A,B,Option A,B,False
37,95,"(1, 2, 5, 1, 2, 2)",95,141,"Choose between:
Option A - 35% to win $5000, 65% to win $0.
Option B - 30% to win $6000, 70% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $5000 for sure.
Option B - 85% to win $6000, 15% to win $0.
What is your choice?
Answer:",1,2,5,2,target,better_expected_value,-1.1704822778701782,-0.1800906956195831,Option A (first),B,B,Option B,B,True
38,96,"(1, 2, 6, 1, 1, 1)",96,144,"Choose between:
Option A - $3000 with a 20% chance, $0 with a 80% chance.
Option B - $2000 with a 25% chance, $0 with a 75% chance.
What is your choice?
Answer:","Choose between:
Option A - $3000 with a 70% chance, $0 with a 30% chance.
Option B - $2000 with certainty.
What is your choice?
Answer:",1,2,6,1,target,better_expected_value,-0.0430976562201976,-0.7345656752586365,Option B (second),A,B,A,Option B,False
39,99,"(1, 2, 6, 1, 1, 2)",99,147,"Choose between:
Option A - 25% to win $2000, 75% to win $0.
Option B - $3000 with a 20% chance, $0 with a 80% chance.
What is your choice?
Answer:","Choose between:
Option A - $2000 for sure.
Option B - $3000 with a 70% chance, $0 with a 30% chance.
What is your choice?
Answer:",1,2,6,2,target,better_expected_value,-0.3980744779109955,-0.6326816082000732,Option A (first),B,A,B,A,False
40,100,"(1, 2, 6, 1, 2, 1)",100,150,"Choose between:
Option A - 20% to win $3000, 80% to win $0.
Option B - $2000 with a 25% chance, $0 with a 75% chance.
What is your choice?
Answer:","Choose between:
Option A - 70% to win $3000, 30% to win $0.
Option B - $2000 with certainty.
What is your choice?
Answer:",1,2,6,1,target,better_expected_value,-0.5767763257026672,-0.5235171318054199,Option B (second),A,B,Option A,B,False
41,103,"(1, 2, 6, 1, 2, 2)",103,153,"Choose between:
Option A - 25% to win $2000, 75% to win $0.
Option B - 20% to win $3000, 80% to win $0.
What is your choice?
Answer:","Choose between:
Option A - $2000 for sure.
Option B - 70% to win $3000, 30% to win $0.
What is your choice?
Answer:",1,2,6,2,target,better_expected_value,-1.0132189989089966,-0.1799047887325287,Option A (first),B,A,Option B,A,False
42,104,"(1, 2, 7, 1, 1, 1)",104,156,"Choose between:
Option A - $2000 with a 15% chance, $0 with a 85% chance.
Option B - $1000 with a 20% chance, $0 with a 80% chance.
What is your choice?
Answer:","Choose between:
Option A - $2000 with a 60% chance, $0 with a 40% chance.
Option B - $1000 with certainty.
What is your choice?
Answer:",1,2,7,1,target,better_expected_value,-0.1006481051445007,-0.616568922996521,Option B (second),A,A,A,A,True
43,108,"(1, 2, 7, 1, 2, 1)",108,162,"Choose between:
Option A - 15% to win $2000, 85% to win $0.
Option B - $1000 with a 20% chance, $0 with a 80% chance.
What is your choice?
Answer:","Choose between:
Option A - 60% to win $2000, 40% to win $0.
Option B - $1000 with certainty.
What is your choice?
Answer:",1,2,7,1,target,better_expected_value,-0.1135495230555534,-0.6328210830688477,Option B (second),A,B,Option A,B,False
44,109,"(1, 2, 7, 1, 2, 1)",110,164,"Choose between:
Option A - 15% to win $2000, 85% to win $0.
Option B - 20% to win $1000, 80% to win $0.
What is your choice?
Answer:","Choose between:
Option A - 60% to win $2000, 40% to win $0.
Option B - $1000 for sure.
What is your choice?
Answer:",1,2,7,1,target,better_expected_value,-0.738570511341095,-0.8729603290557861,Option B (second),A,B,A,B,False
45,112,"(2, 1, 1, 1, 1, 1)",112,168,"Below you will find two options for getting a prize.
Option A - $2500 with a 33% chance, $0 with a 67% chance.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Option B - $2400 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,1,1,1,target,better_expected_value,-0.2811974585056305,-0.2744776904582977,Option B (second),A,A,A,A,True
46,115,"(2, 1, 1, 1, 1, 2)",115,171,"Below you will find two options for getting a prize.
Option A - 34% to win $2400, 66% to win $0.
Option B - $2500 with a 33% chance, $0 with a 67% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $2400 for sure.
Option B - $2500 with a 33% chance, $2400 with a 66% chance, $0 with a 1% chance.
Given that these are the only options, which one would you choose?
Answer:",2,1,1,2,target,better_expected_value,-0.3936914801597595,-0.8202126622200012,Option A (first),B,A,B,A,False
47,116,"(2, 1, 1, 1, 2, 1)",116,174,"Below you will find two options for getting a prize.
Option A - 33% to win $2500, 67% to win $0.
Option B - $2400 with a 34% chance, $0 with a 66% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 33% to win $2500, 66% to win $2400, 1% to win $0.
Option B - $2400 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,1,1,1,target,better_expected_value,-0.9931837916374208,-0.9781692624092102,Option B (second),A,B,A,B,False
48,117,"(2, 1, 1, 1, 2, 1)",118,176,"Below you will find two options for getting a prize.
Option A - 33% to win $2500, 67% to win $0.
Option B - 34% to win $2400, 66% to win $0.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 33% to win $2500, 66% to win $2400, 1% to win $0.
Option B - $2400 for sure.
Given that these are the only options, which one would you choose?
Answer:",2,1,1,1,target,better_expected_value,-0.905716359615326,-0.459250271320343,Option B (second),A,B,A,B,False
49,120,"(2, 1, 2, 1, 1, 1)",120,180,"Below you will find two options for getting a prize.
Option A - $3000 with a 34% chance, $0 with a 66% chance.
Option B - $2500 with a 35% chance, $0 with a 65% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $3000 with a 34% chance, $2500 with a 65% chance, $0 with a 1% chance.
Option B - $2500 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,1,2,1,target,better_expected_value,-0.3133152425289154,-0.3333489894866943,Option B (second),A,B,A,Option B,False
50,124,"(2, 1, 2, 1, 2, 1)",124,186,"Below you will find two options for getting a prize.
Option A - 34% to win $3000, 66% to win $0.
Option B - $2500 with a 35% chance, $0 with a 65% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 34% to win $3000, 65% to win $2500, 1% to win $0.
Option B - $2500 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,1,2,1,target,better_expected_value,-0.038130234926939,-0.9008004069328308,Option B (second),A,B,A,B,False
51,125,"(2, 1, 2, 1, 2, 1)",126,188,"Below you will find two options for getting a prize.
Option A - 34% to win $3000, 66% to win $0.
Option B - 35% to win $2500, 65% to win $0.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 34% to win $3000, 65% to win $2500, 1% to win $0.
Option B - $2500 for sure.
Given that these are the only options, which one would you choose?
Answer:",2,1,2,1,target,better_expected_value,-0.7472242712974548,-0.3938757479190826,Option B (second),A,B,A,B,False
52,139,"(2, 1, 4, 1, 1, 2)",139,207,"Below you will find two options for getting a prize.
Option A - 21% to win $800, 79% to win $0.
Option B - $1000 with a 20% chance, $0 with a 80% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $800 for sure.
Option B - $1000 with a 20% chance, $800 with a 79% chance, $0 with a 1% chance.
Given that these are the only options, which one would you choose?
Answer:",2,1,4,2,target,better_expected_value,-0.223403587937355,-0.7822535037994385,Option A (first),B,A,B,A,False
53,140,"(2, 1, 4, 1, 2, 1)",140,210,"Below you will find two options for getting a prize.
Option A - 20% to win $1000, 80% to win $0.
Option B - $800 with a 21% chance, $0 with a 79% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 20% to win $1000, 79% to win $800, 1% to win $0.
Option B - $800 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,1,4,1,target,better_expected_value,-0.3197691142559051,-0.5739141702651978,Option B (second),A,B,A,B,False
54,141,"(2, 1, 4, 1, 2, 1)",142,212,"Below you will find two options for getting a prize.
Option A - 20% to win $1000, 80% to win $0.
Option B - 21% to win $800, 79% to win $0.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 20% to win $1000, 79% to win $800, 1% to win $0.
Option B - $800 for sure.
Given that these are the only options, which one would you choose?
Answer:",2,1,4,1,target,better_expected_value,-0.3177854120731354,-0.4004128277301788,Option B (second),A,B,A,B,False
55,144,"(2, 1, 5, 1, 1, 1)",144,216,"Below you will find two options for getting a prize.
Option A - $1000 with a 25% chance, $0 with a 75% chance.
Option B - $850 with a 26% chance, $0 with a 74% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $1000 with a 25% chance, $850 with a 74% chance, $0 with a 1% chance.
Option B - $850 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,1,5,1,target,better_expected_value,-0.6326246857643127,-0.2523725032806396,Option B (second),A,A,A,A,True
56,147,"(2, 1, 5, 1, 1, 2)",147,219,"Below you will find two options for getting a prize.
Option A - 26% to win $850, 74% to win $0.
Option B - $1000 with a 25% chance, $0 with a 75% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $850 for sure.
Option B - $1000 with a 25% chance, $850 with a 74% chance, $0 with a 1% chance.
Given that these are the only options, which one would you choose?
Answer:",2,1,5,2,target,better_expected_value,-0.2377854585647583,-0.5733300447463989,Option A (first),B,A,B,A,False
57,148,"(2, 1, 5, 1, 2, 1)",148,222,"Below you will find two options for getting a prize.
Option A - 25% to win $1000, 75% to win $0.
Option B - $850 with a 26% chance, $0 with a 74% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 25% to win $1000, 74% to win $850, 1% to win $0.
Option B - $850 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,1,5,1,target,better_expected_value,-0.5330697894096375,-0.8585424423217773,Option B (second),A,B,A,B,False
58,149,"(2, 1, 5, 1, 2, 1)",150,224,"Below you will find two options for getting a prize.
Option A - 25% to win $1000, 75% to win $0.
Option B - 26% to win $850, 74% to win $0.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - 25% to win $1000, 74% to win $850, 1% to win $0.
Option B - $850 for sure.
Given that these are the only options, which one would you choose?
Answer:",2,1,5,1,target,better_expected_value,-0.3364568054676056,-0.5202299952507019,Option B (second),A,B,A,B,False
59,151,"(2, 1, 5, 1, 2, 2)",151,225,"Below you will find two options for getting a prize.
Option A - 26% to win $850, 74% to win $0.
Option B - 25% to win $1000, 75% to win $0.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $850 for sure.
Option B - 25% to win $1000, 74% to win $850, 1% to win $0.
Given that these are the only options, which one would you choose?
Answer:",2,1,5,2,target,better_expected_value,-0.2177534699440002,-0.6277261972427368,Option A (first),B,A,B,A,False
60,152,"(2, 1, 6, 1, 1, 1)",152,228,"Below you will find two options for getting a prize.
Option A - $1500 with a 25% chance, $0 with a 75% chance.
Option B - $1300 with a 26% chance, $0 with a 74% chance.
Given that these are the only options, which one would you choose?
Answer:","Below you will find two options for getting a prize.
Option A - $1500 with a 25% chance, $1300 with a 74% chance, $0 with a 1% chance.
Option B - $1300 with certainty.
Given that these are the only options, which one would you choose?
Answer:",2,1,6,1,target,better_expected_value,-0.0297733284533023,-0.3108928501605987,Option B (second),A,B,A,Option B,False
